Name,Address,City,State,Code,Website
Alvinne Picobrouwerij,Oostrozebekestraat 114,Ingelmunster,VWV,?,?
Brouwerij Abdij Saint Sixtus,Donkerstraat 12,Westvleteren,VWV,?,?
Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,VWV,?,?
Brouwerij Bockor,Kwabrugstraat 5,Bellegem,VWV,?,?
Brouwerij De Dolle Brouwers,Roeselarestraat 12b,Esen,VWV,BE-8160,www.dedollebrouwers.be
Brouwerij de Gouden Boom,?,Brugge,VWV,?,?
Brouwerij De Ranke,Brugsstraat 43,Wevelgem,VWV,?,?
Brouwerij De Regenboog,Astridlaan 134,Assebroek,VWV,?,?
Brouwerij Rodenbach,Spanjestraat 133-141,Roeselare,VWV,?,?
Brouwerij St. Bernardus,Trappistenweg 23,Watou,VWV,?,www.sintbernardus.be
Brouwerij Strubbe,Markt 1,Ichtegem,VWV,?,?
Brouwerij Van Eecke,Douvieweg 2,Watou,VWV,?,?
Brouwerij Van Honsebrouck,Oostrozebekestraat 43,Ingelmunster,VWV,?,?
Brouwerij Verhaeghe,Beukenhofstraat 96,Vichte,VWV,?,?
De Halve Maan,Walplein 26,Brugge,VWV,BE-8000,www.halvemaan.be
De Leyerth Brouwerijen,Krommekeerstraat 21,Ruiselede,VWV,?,?
De Struise Brouwers,Woesten,Woesten,VWV,?,www.struisebrouwers.be
Liefmans Breweries,Wontergemstraat 42,Dentergem,VWV,?,?
